gene_id	asc_0	asc_1	asc_2	asc_3	asc_4	asc_5	asc_6	idc_0	idc_1	idc_2	idc_3	idc_4	idc_5	idc_6	healthy_0	healthy_1	healthy_2	healthy_3	healthy_4	healthy_5	healthy_6
ENSG00000188038	0	0	0	0	0	0	0	2	0	0	0	0	0	0	68	76	65	174	36	99	162
ENSG00000188039	15	4	6	4	2	1	0	55	560	177	237	0	2	70	6	23	25	37	10	31	25
ENSG00000188042	227	156	188	310	85	102	21	2887	1883	3445	3872	8633	1693	3068	1081	2681	3181	1322	1272	4122	2002
ENSG00000188050	113	25	10	33	42	70	0	11	13	7	1	8	1	1	20	25	12	23	5	11	25
ENSG00000188051	1	0	0	0	0	0	0	33	60	10	97	63	48	79	64	178	317	64	47	477	59
ENSG00000188056	5	1	0	3	2	0	0	6	7	2	4	4	6	9	4	0	2	7	0	0	2
ENSG00000188060	20	30	27	59	14	32	6	284	133	243	119	380	179	1078	149	119	145	278	218	222	195
ENSG00000188064	11	18	26	104	13	5	0	664	2386	1774	6743	3944	6828	560	60	420	150	7	0	391	815
ENSG00000188070	88	31	90	66	100	45	3	1417	869	1055	1306	2056	1204	629	2691	2041	2109	2849	1961	2338	3204
ENSG00000188076	4	2	1	4	2	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	1
ENSG00000188086	0	0	0	0	0	0	0	0	0	0	0	0	0	1	101	108	43	14	5	30	38
ENSG00000188089	0	0	410	1592	0	76	0	1	1	5	4	5	0	3	4	14	5	10	0	6	1
ENSG00000188092	415	230	48	502	114	323	0	259	631	202	257	295	170	319	294	345	260	219	151	294	242
ENSG00000188095	5	0	5	2	3	2	0	98	435	145	5	11	10	22	18	19	17	57	37	43	44
ENSG00000188100	0	0	1	28	0	1	0	0	0	0	1	13	0	1	11	8	5	4	1	12	22
ENSG00000188107	296	254	219	494	13	66	0	33	25	29	262	43	7	42	12	29	44	162	30	37	71
ENSG00000188112	211	53	396	1367	43	87	0	4045	3277	2201	2581	2864	1934	2347	584	2011	819	317	326	1016	1033
ENSG00000188120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188124	6	6	2	37	6	80	0	0	1	0	7	1	2	6	2	2	0	0	0	0	2
ENSG00000188130	709	353	582	515	365	821	0	288	100	277	275	411	3847	509	1589	687	1180	1106	1284	1227	1437
ENSG00000188133	0	0	1	1	3	0	0	7	8	270	20	160	76	27	0	4	0	1	0	0	2
ENSG00000188152	658	604	741	1399	151	120	1	20	8	5	5	6	4	14	22	23	9	5	1	21	17
ENSG00000188153	5714	4109	3588	5553	309	6529	271	9113	13027	1558	1365	3699	1649	6406	1234	5098	2155	997	838	1899	3366
ENSG00000188155	0	0	66	39	0	48	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0
ENSG00000188157	4397	2345	7209	3681	11360	1488	330	14714	10389	13763	1516	8104	12144	20446	4205	8817	4797	6512	2289	9690	10468
ENSG00000188158	1930	1087	603	2422	1029	241	0	1541	6977	716	681	909	365	754	947	977	1310	1379	798	852	1303
ENSG00000188162	0	4	0	0	0	0	0	1	10	0	1	1	28	2	0	1	1	2	0	1	0
ENSG00000188163	15	18	33	62	8	3	0	2	10	1	0	2	2	2	15	23	26	113	63	30	85
ENSG00000188167	92	36	60	60	37	74	0	181	152	73	193	119	46	184	77	84	85	104	62	42	72
ENSG00000188171	526	233	131	828	149	302	0	1400	3062	296	927	1024	134	105	559	676	500	485	281	458	671
ENSG00000188175	58	1	0	0	0	6	0	1332	566	11	562	7	2	3	202	516	20	6	3	567	532
ENSG00000188176	32	4	8	15	120	6	0	2	5	54	6	13	9	63	107	148	178	92	118	361	93
ENSG00000188177	2905	1678	528	3671	851	1783	0	2072	1551	837	2101	937	368	1130	1740	2169	2188	4406	834	2563	2673
ENSG00000188186	425	233	561	443	277	418	0	2924	2329	2978	2467	2198	11682	3483	2144	2320	2802	2794	2016	3805	3235
ENSG00000188191	686	341	904	398	244	1135	0	852	455	830	558	468	1767	702	871	1236	1231	1438	711	2162	1628
ENSG00000188199	434	595	1032	1796	164	216	0	12	3	9	11	6	6	15	2	42	24	50	0	14	44
ENSG00000188211	52	61	14	159	23	64	0	336	240	197	46	140	59	34	228	215	171	221	153	148	106
ENSG00000188215	702	327	348	455	534	251	0	1190	1173	839	415	1056	409	1031	1874	1872	2210	5575	2024	1489	1697
ENSG00000188219	130	1783	1593	1329	24	2344	0	25	7	5	3	19	0	5	11	12	16	11	13	7	33
ENSG00000188227	427	143	27	361	119	25	1	766	1110	319	1006	276	151	463	505	1077	557	354	91	664	1009
ENSG00000188229	819	487	2149	2381	1219	1945	34	13440	16890	8084	4731	9206	26432	23753	3413	4813	7502	5035	9672	3543	4453
ENSG00000188234	1064	695	630	1928	522	874	0	128	220	61	176	61	62	74	332	627	483	704	156	474	317
ENSG00000188243	410	151	79	327	162	432	16	2325	2895	1864	3151	3783	6416	3852	2506	2840	3029	3101	2170	4276	3342
ENSG00000188257	166	22	389	146	544	110	0	501	6631	33	18	2	96	79	5928	214	1628	550	20004	9617	648
ENSG00000188263	31	8	13	10	5	15	0	98	14	1	26	45	12	29	0	7	7	3	0	4	4
ENSG00000188266	189	132	40	200	56	179	1	253	285	145	393	388	157	199	197	383	409	384	187	267	385
ENSG00000188269	3	0	4	0	3	6	0	2	0	4	0	1	1	2	13	13	17	0	2	14	0
ENSG00000188277	167	139	192	274	44	91	0	119	101	34	63	142	47	101	283	263	257	358	94	228	309
ENSG00000188282	39	2	2	43	1	26	0	45	84	11	30	104	9	52	20	11	7	16	21	26	8
ENSG00000188283	477	468	96	1016	136	205	0	619	661	573	1106	532	237	364	637	935	697	1315	379	944	793
ENSG00000188290	217	34	357	189	220	278	6	562	186	152	12	286	3450	210	521	519	667	582	175	533	1823
ENSG00000188293	0	0	6	66	0	7	0	15	1	5	0	5	0	2	19	4	2	0	0	4	0
ENSG00000188295	149	74	65	245	55	195	0	552	1092	265	454	277	137	1113	123	270	214	299	154	272	138
ENSG00000188305	46	14	19	86	24	14	0	32	10	4	12	11	35	24	40	47	69	29	72	48	15
ENSG00000188306	56	30	33	66	7	15	0	19	109	5	4	3	1	25	2	1	4	0	2	4	2
ENSG00000188312	330	257	106	960	212	456	75	475	251	465	149	215	167	532	413	382	260	415	135	283	389
ENSG00000188313	2280	1191	410	1912	696	871	8	1272	2463	3595	2396	1310	635	4401	2985	4319	4067	5598	2312	3639	5060
ENSG00000188315	410	202	163	590	163	79	0	357	293	370	757	437	292	339	603	727	801	1226	433	897	838
ENSG00000188316	87	50	47	193	23	8	0	40	51	19	73	45	9	44	11	26	31	22	3	5	45
ENSG00000188321	1137	1031	249	2034	401	427	0	853	239	656	818	537	140	545	1201	2202	1288	1078	754	1758	1402
ENSG00000188322	9	1	6	0	7	4	0	2231	8054	268	1380	1083	2003	2300	111	746	199	91	16	348	293
